medicineId, medicineName, medicineGenre, medicinePrice, sellerName, num, url, description
1,板蓝根,感冒发烧,32.7,白云山,500,../static/styles/images/1.jpg,清热解毒，凉血利咽。用于肺胃热盛所致的咽喉肿痛、口咽干燥；急性扁桃体炎见上述证候者。
2,感冒灵颗粒,感冒发烧,9.9,三九,100,../static/styles/images/2.jpg,解热镇痛。用于感冒引起的头痛，发热，鼻塞，流涕，咽痛。
3,快客,感冒发烧,25.5,白云山,200,../static/styles/images/3.jpg,适用于缓解普通感冒或流行性感冒引起的发热、头痛、四肢酸痛、打喷嚏、流鼻涕、鼻塞、咽痛等症状，也可用于流行性感冒的预防和治疗。
4,布洛芬,感冒发烧,72.5,芬必得,500,../static/styles/images/4.jpg,适应症为用于缓解轻至中度疼痛如头痛、关节痛、偏头痛、牙痛、肌肉痛、神经痛、痛经。也用于普通感冒或流行性感冒引起的发热。
5,龙虎人丹,腹泻,6.5,龙虎,100,../static/styles/images/5.jpg,开窍醒神，祛暑化浊，和中止呕。用于中暑头晕，恶心呕吐，腹泄及晕车、晕船。
6,肠炎宁片,腹泻,69,康恩贝,200,../static/styles/images/6.jpg,清热利湿，行气。用于湿热蕴结胃肠所致的腹泻，小儿消化不良。
7,附子理中丸,腹泻,55,同仁堂,300,../static/styles/images/7.jpg,温中健脾。用于脾胃虚寒，脘腹冷痛，呕吐泄泻，手足不温
8,碧生源减肥茶,减肥,98,碧生源,1000,../static/styles/images/8.jpg,碧生源常箐茶采用决明子、荷叶、绞股蓝等草本配方，帮助排除体内油脂，无依赖性，每日1-2袋即可。
9,奥利司他胶囊,减肥,139,艾丽,2000,../static/styles/images/9.jpg,本品用于肥胖症或体重超重患者（体重指数≥24）的治疗。
10,左旋肉碱,减肥,128,修正,300,../static/styles/images/10.jpg,左旋肉碱+茶多酚双效合一，左旋肉碱可以运输脂肪到线粒体中燃烧，在2003年被国际肥胖健康组织认定为安全无副作用的减肥营养补充品。
11,万通筋骨贴,跌打损伤,49.5,万通,900,../static/styles/images/11.jpg,适用于关节炎、肩周炎、颈椎病、腰肌劳损、骨质增生、跌打损伤、腰间盘突出、落枕等引起的疼痛酸胀和不适
12,创可贴,跌打损伤,13.9,云南白药,1000,../static/styles/images/12.jpg,消炎愈创 止血镇痛！小伤小痛不担心，居家旅行必备
